UNITID,EFDELEV,XEFDETOT,EFDETOT,XEFDEEXC,EFDEEXC,XEFDESOM,EFDESOM,XEFDENON,EFDENON,XEFDEEX1,EFDEEX1,XEFDEEX2,EFDEEX2,XEFDEEX3,EFDEEX3,XEFDEEX4,EFDEEX4,XEFDEEX5,EFDEEX5 
100654, 1,"R",5977,"R",1869,"R",3890,"R",218,"R",1263,"R",606,"Z",0,"Z",0,"R",0
100654, 2,"R",5093,"R",1286,"R",3662,"R",145,"R",792,"R",494,"Z",0,"Z",0,"R",0
100654, 3,"R",5090,"R",1284,"R",3662,"R",144,"R",791,"R",493,"Z",0,"Z",0,"R",0
100654,11,"R",3,"R",2,"R",0,"R",1,"R",1,"R",1,"Z",0,"Z",0,"R",0
100654,12,"R",884,"R",583,"R",228,"R",73,"R",471,"R",112,"Z",0,"Z",0,"R",0
100663, 1,"R",22563,"R",6346,"R",8430,"R",7787,"R",2411,"R",2034,"R",0,"R",4,"R",1897
100663, 2,"R",13878,"R",2541,"R",7200,"R",4137,"R",305,"R",358,"R",0,"R",0,"R",1878
100663, 3,"R",13549,"R",2411,"R",7147,"R",3991,"R",206,"R",350,"R",0,"R",0,"R",1855
100663,11,"R",329,"R",130,"R",53,"R",146,"R",99,"R",8,"R",0,"R",0,"R",23
100663,12,"R",8685,"R",3805,"R",1230,"R",3650,"R",2106,"R",1676,"R",0,"R",4,"R",19
100690, 1,"R",775,"R",775,"A",,"A",,"R",393,"R",382,"Z",0,"Z",0,"R",0
100690, 2,"R",298,"R",298,"A",,"A",,"R",192,"R",106,"Z",0,"Z",0,"R",0
100690, 3,"R",298,"R",298,"A",,"A",,"R",192,"R",106,"Z",0,"Z",0,"R",0
100690,12,"R",477,"R",477,"A",,"A",,"R",201,"R",276,"Z",0,"Z",0,"R",0
100706, 1,"R",9999,"R",5033,"R",4577,"R",389,"R",4046,"R",916,"R",71,"Z",0,"R",0
100706, 2,"R",8027,"R",3576,"R",4300,"R",151,"R",2912,"R",604,"R",60,"Z",0,"R",0
100706, 3,"R",7825,"R",3416,"R",4284,"R",125,"R",2762,"R",601,"R",53,"Z",0,"R",0
100706,11,"R",202,"R",160,"R",16,"R",26,"R",150,"R",3,"R",7,"Z",0,"R",0
100706,12,"R",1972,"R",1457,"R",277,"R",238,"R",1134,"R",312,"R",11,"Z",0,"R",0
100724, 1,"R",4072,"R",1485,"R",2373,"R",214,"R",1200,"R",0,"R",285,"R",0,"R",0
100724, 2,"R",3614,"R",1219,"R",2223,"R",172,"R",953,"R",0,"R",266,"R",0,"R",0
100724, 3,"R",3603,"R",1208,"R",2223,"R",172,"R",942,"R",0,"R",266,"R",0,"R",0
100724,11,"R",11,"R",11,"R",0,"R",0,"R",11,"R",0,"R",0,"R",0,"R",0
100724,12,"R",458,"R",266,"R",150,"R",42,"R",247,"R",0,"R",19,"R",0,"R",0
100751, 1,"R",37840,"R",7517,"R",26617,"R",3706,"R",4789,"R",2589,"R",69,"R",70,"R",0
100751, 2,"R",31670,"R",5010,"R",24765,"R",1895,"R",3599,"R",1356,"R",28,"R",27,"R",0
100751, 3,"R",30610,"R",4027,"R",24726,"R",1857,"R",2739,"R",1236,"R",27,"R",25,"R",0
100751,11,"R",1060,"R",983,"R",39,"R",38,"R",860,"R",120,"R",1,"R",2,"R",0
100751,12,"R",6170,"R",2507,"R",1852,"R",1811,"R",1190,"R",1233,"R",41,"R",43,"R",0
100760, 1,"R",1546,"R",1149,"R",128,"R",269,"R",1124,"R",25,"R",0,"R",0,"R",0
100760, 2,"R",1546,"R",1149,"R",128,"R",269,"R",1124,"R",25,"R",0,"R",0,"R",0
100760, 3,"R",994,"R",761,"R",88,"R",145,"R",736,"R",25,"R",0,"R",0,"R",0
100760,11,"R",552,"R",388,"R",40,"R",124,"R",388,"R",0,"R",0,"R",0,"R",0
100812, 1,"R",2867,"R",1722,"R",938,"R",207,"R",1614,"R",108,"R",0,"R",0,"R",0
100812, 2,"R",2688,"R",1545,"R",938,"R",205,"R",1464,"R",81,"R",0,"R",0,"R",0
100812, 3,"R",2629,"R",1491,"R",938,"R",200,"R",1413,"R",78,"R",0,"R",0,"R",0
100812,11,"R",59,"R",54,"R",0,"R",5,"R",51,"R",3,"R",0,"R",0,"R",0
100812,12,"R",179,"R",177,"R",0,"R",2,"R",150,"R",27,"R",0,"R",0,"R",0
100830, 1,"R",5212,"R",881,"R",2237,"R",2094,"R",775,"R",51,"R",0,"R",9,"R",46
100830, 2,"R",4375,"R",480,"R",1996,"R",1899,"R",446,"R",26,"R",0,"R",7,"R",1
100830, 3,"R",4301,"R",458,"R",1987,"R",1856,"R",429,"R",21,"R",0,"R",7,"R",1
100830,11,"R",74,"R",22,"R",9,"R",43,"R",17,"R",5,"R",0,"R",0,"R",0
100830,12,"R",837,"R",401,"R",241,"R",195,"R",329,"R",25,"R",0,"R",2,"R",45
100858, 1,"R",30737,"R",2210,"R",8320,"R",20207,"R",895,"R",1272,"R",1,"R",42,"R",0
100858, 2,"R",24505,"R",551,"R",7812,"R",16142,"R",295,"R",251,"Z",0,"R",5,"R",0
100858, 3,"R",24368,"R",551,"R",7783,"R",16034,"R",295,"R",251,"Z",0,"R",5,"R",0
100858,11,"R",137,"Z",0,"R",29,"R",108,"A",,"A",,"A",,"A",,"A",
100858,12,"R",6232,"R",1659,"R",508,"R",4065,"R",600,"R",1021,"R",1,"R",37,"R",0
100937, 1,"R",1129,"R",3,"R",374,"R",752,"R",1,"R",2,"Z",0,"Z",0,"R",0
100937, 2,"R",1129,"R",3,"R",374,"R",752,"R",1,"R",2,"Z",0,"Z",0,"R",0
100937, 3,"R",1129,"R",3,"R",374,"R",752,"R",1,"R",2,"Z",0,"Z",0,"R",0
101028, 1,"R",1399,"R",451,"R",629,"R",319,"R",332,"R",119,"R",0,"R",0,"R",0
101028, 2,"R",1399,"R",451,"R",629,"R",319,"R",332,"R",119,"R",0,"R",0,"R",0
101028, 3,"R",1183,"R",418,"R",566,"R",199,"R",301,"R",117,"R",0,"R",0,"R",0
101028,11,"R",216,"R",33,"R",63,"R",120,"R",31,"R",2,"R",0,"R",0,"R",0
101116, 1,"R",349,"R",149,"R",44,"R",156,"R",144,"R",5,"Z",0,"Z",0,"R",0
101116, 2,"R",289,"R",98,"R",44,"R",147,"R",95,"R",3,"Z",0,"Z",0,"R",0
101116, 3,"R",289,"R",98,"R",44,"R",147,"R",95,"R",3,"Z",0,"Z",0,"R",0
101116,12,"R",60,"R",51,"R",0,"R",9,"R",49,"R",2,"Z",0,"Z",0,"R",0
101143, 1,"R",1808,"R",602,"R",640,"R",566,"R",590,"R",11,"R",1,"Z",0,"R",0
101143, 2,"R",1808,"R",602,"R",640,"R",566,"R",590,"R",11,"R",1,"Z",0,"R",0
101143, 3,"R",1304,"R",364,"R",571,"R",369,"R",353,"R",10,"R",1,"Z",0,"R",0
101143,11,"R",504,"R",238,"R",69,"R",197,"R",237,"R",1,"Z",0,"Z",0,"R",0
101161, 1,"R",6653,"R",1251,"R",2125,"R",3277,"R",1217,"R",33,"R",1,"Z",0,"R",0
101161, 2,"R",6653,"R",1251,"R",2125,"R",3277,"R",1217,"R",33,"R",1,"Z",0,"R",0
101161, 3,"R",4680,"R",1080,"R",2085,"R",1515,"R",1048,"R",31,"R",1,"Z",0,"R",0
101161,11,"R",1973,"R",171,"R",40,"R",1762,"R",169,"R",2,"Z",0,"Z",0,"R",0
101189, 1,"R",2961,"R",1284,"R",426,"R",1251,"R",1006,"R",277,"Z",0,"R",1,"R",0
101189, 2,"R",2098,"R",710,"R",403,"R",985,"R",601,"R",109,"Z",0,"Z",0,"R",0
101189, 3,"R",1834,"R",692,"R",400,"R",742,"R",583,"R",109,"Z",0,"Z",0,"R",0
101189,11,"R",264,"R",18,"R",3,"R",243,"R",18,"Z",0,"Z",0,"Z",0,"R",0
101189,12,"R",863,"R",574,"R",23,"R",266,"R",405,"R",168,"Z",0,"R",1,"R",0
101240, 1,"R",3993,"R",1439,"R",1390,"R",1164,"R",1396,"R",42,"R",1,"R",0,"R",0
101240, 2,"R",3993,"R",1439,"R",1390,"R",1164,"R",1396,"R",42,"R",1,"R",0,"R",0
101240, 3,"R",3496,"R",1198,"R",1340,"R",958,"R",1156,"R",41,"R",1,"R",0,"R",0
101240,11,"R",497,"R",241,"R",50,"R",206,"R",240,"R",1,"R",0,"R",0,"R",0
101277, 1,"R",86,"A",,"A",,"R",86,"A",,"A",,"A",,"A",,"A",
101277, 2,"R",86,"A",,"A",,"R",86,"A",,"A",,"A",,"A",,"A",
101277, 3,"C",86,"A",,"A",,"C",86,"A",,"A",,"A",,"A",,"A",
101286, 1,"R",3681,"R",802,"R",1077,"R",1802,"R",761,"R",41,"Z",0,"Z",0,"R",0
101286, 2,"R",3681,"R",802,"R",1077,"R",1802,"R",761,"R",41,"Z",0,"Z",0,"R",0
