UNITID,EFDELEV,XEFDETOT,EFDETOT,XEFDEEXC,EFDEEXC,XEFDESOM,EFDESOM,XEFDENON,EFDENON,XEFDEEX1,EFDEEX1,XEFDEEX2,EFDEEX2,XEFDEEX3,EFDEEX3,XEFDEEX4,EFDEEX4,XEFDEEX5,EFDEEX5 
100654, 1,"R",5969,"R",426,"R",2513,"R",3030,"R",276,"R",125,"R",25,"Z",0,"R",0
100654, 2,"R",5107,"R",225,"R",2264,"R",2618,"R",147,"R",71,"R",7,"Z",0,"R",0
100654, 3,"R",5098,"R",224,"R",2263,"R",2611,"R",146,"R",71,"R",7,"Z",0,"R",0
100654,11,"R",9,"R",1,"R",1,"R",7,"R",1,"Z",0,"Z",0,"Z",0,"R",0
100654,12,"R",862,"R",201,"R",249,"R",412,"R",129,"R",54,"R",18,"Z",0,"R",0
100663, 1,"R",22289,"R",6460,"R",8202,"R",7627,"R",4315,"R",2113,"R",0,"R",4,"R",28
100663, 2,"R",13547,"R",2609,"R",6890,"R",4048,"R",2251,"R",347,"R",0,"R",1,"R",10
100663, 3,"R",13284,"R",2517,"R",6833,"R",3934,"R",2170,"R",338,"R",0,"R",1,"R",8
100663,11,"R",263,"R",92,"R",57,"R",114,"R",81,"R",9,"R",0,"R",0,"R",2
100663,12,"R",8742,"R",3851,"R",1312,"R",3579,"R",2064,"R",1766,"R",0,"R",3,"R",18
100690, 1,"R",723,"R",723,"A",,"A",,"R",345,"R",378,"Z",0,"Z",0,"R",0
100690, 2,"R",251,"R",251,"A",,"A",,"R",159,"R",92,"Z",0,"Z",0,"R",0
100690, 3,"R",251,"R",251,"A",,"A",,"R",159,"R",92,"Z",0,"Z",0,"R",0
100690,12,"R",472,"R",472,"A",,"A",,"R",186,"R",286,"Z",0,"Z",0,"R",0
100706, 1,"R",9636,"R",1065,"R",4880,"R",3691,"R",830,"R",221,"R",0,"R",8,"R",6
100706, 2,"R",7569,"R",473,"R",4474,"R",2622,"R",411,"R",53,"R",0,"R",6,"R",3
100706, 3,"R",7358,"R",442,"R",4422,"R",2494,"R",382,"R",51,"R",0,"R",6,"R",3
