UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW 
448309,43,20,2,1,R,13,R,4,R,9,R,0,R,0,R,0,R,0,R,0,R,0,R,2,R,0,R,2,R,0,R,0,R,0,R,0,R,0,R,0,R,6,R,2,R,4,R,0,R,0,R,0,R,4,R,2,R,2,R,1,R,0,R,1
448309,44,15,2,1,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,1
448309,45,99,2,1,R,12,R,4,R,8,R,0,R,0,R,0,R,0,R,0,R,0,R,2,R,0,R,2,R,0,R,0,R,0,R,0,R,0,R,0,R,6,R,2,R,4,R,0,R,0,R,0,R,4,R,2,R,2,R,0,R,0,R,0
448309,52,25,2,3,R,4,R,1,R,3,R,0,R,0,R,0,R,0,R,0,R,0,R,2,R,0,R,2,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,1,R,0
448309,59,16,2,1,R,1,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
448309,60,17,2,1,R,11,R,3,R,8,R,0,R,0,R,0,R,0,R,0,R,0,R,2,R,0,R,2,R,0,R,0,R,0,R,0,R,0,R,0,R,5,R,1,R,4,R,0,R,0,R,0,R,4,R,2,R,2,R,0,R,0,R,0
448354, 1,29,3,4,R,257,R,28,R,229,R,2,Z,0,R,2,R,13,R,5,R,8,R,97,R,12,R,85,R,83,R,7,R,76,R,2,Z,0,R,2,R,58,R,4,R,54,R,1,Z,0,R,1,R,1,Z,0,R,1,Z,0,Z,0,Z,0
448354, 2,99,3,1,R,257,R,28,R,229,R,2,Z,0,R,2,R,13,R,5,R,8,R,97,R,12,R,85,R,83,R,7,R,76,R,2,Z,0,R,2,R,58,R,4,R,54,R,1,Z,0,R,1,R,1,Z,0,R,1,Z,0,Z,0,Z,0
448354, 3,99,3,1,R,257,R,28,R,229,R,2,Z,0,R,2,R,13,R,5,R,8,R,97,R,12,R,85,R,83,R,7,R,76,R,2,Z,0,R,2,R,58,R,4,R,54,R,1,Z,0,R,1,R,1,Z,0,R,1,Z,0,Z,0,Z,0
448354, 4,99,3,1,R,68,R,7,R,61,R,1,Z,0,R,1,R,4,R,3,R,1,R,33,R,3,R,30,R,21,R,1,R,20,R,0,Z,0,R,0,R,9,Z,0,R,9,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
448354, 5,99,3,1,R,189,R,21,R,168,R,1,Z,0,R,1,R,9,R,2,R,7,R,64,R,9,R,55,R,62,R,6,R,56,R,2,Z,0,R,2,R,49,R,4,R,45,R,1,Z,0,R,1,R,1,Z,0,R,1,Z,0,Z,0,Z,0
448354,19,99,3,1,R,2,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
448354,20,99,3,1,R,187,R,21,R,166,R,1,Z,0,R,1,R,9,R,2,R,7,R,63,R,9,R,54,R,61,R,6,R,55,R,2,Z,0,R,2,R,49,R,4,R,45,R,1,Z,0,R,1,R,1,Z,0,R,1,Z,0,Z,0,Z,0
448354,21,14,1,4,R,156,R,16,R,140,R,2,Z,0,R,2,R,6,R,1,R,5,R,63,R,8,R,55,R,53,R,4,R,49,R,1,Z,0,R,1,R,29,R,3,R,26,R,1,Z,0,R,1,R,1,Z,0,R,1,Z,0,Z,0,Z,0
448354,22, 8,1,1,R,156,R,16,R,140,R,2,Z,0,R,2,R,6,R,1,R,5,R,63,R,8,R,55,R,53,R,4,R,49,R,1,Z,0,R,1,R,29,R,3,R,26,R,1,Z,0,R,1,R,1,Z,0,R,1,Z,0,Z,0,Z,0
448354,23, 6,1,1,R,156,R,16,R,140,R,2,Z,0,R,2,R,6,R,1,R,5,R,63,R,8,R,55,R,53,R,4,R,49,R,1,Z,0,R,1,R,29,R,3,R,26,R,1,Z,0,R,1,R,1,Z,0,R,1,Z,0,Z,0,Z,0
448354,24, 1,1,1,R,34,R,3,R,31,R,1,Z,0,R,1,R,1,Z,0,R,1,R,16,R,3,R,13,R,10,Z,0,R,10,Z,0,Z,0,Z,0,R,6,Z,0,R,6,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
448354,25,99,1,1,R,122,R,13,R,109,R,1,Z,0,R,1,R,5,R,1,R,4,R,47,R,5,R,42,R,43,R,4,R,39,R,1,Z,0,R,1,R,23,R,3,R,20,R,1,Z,0,R,1,R,1,Z,0,R,1,Z,0,Z,0,Z,0
448354,39, 2,1,1,R,2,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
448354,40, 3,1,1,R,120,R,13,R,107,R,1,Z,0,R,1,R,5,R,1,R,4,R,46,R,5,R,41,R,42,R,4,R,38,R,1,Z,0,R,1,R,23,R,3,R,20,R,1,Z,0,R,1,R,1,Z,0,R,1,Z,0,Z,0,Z,0
448354,41,28,2,4,R,101,R,12,R,89,R,0,Z,0,R,0,R,7,R,4,R,3,R,34,R,4,R,30,R,30,R,3,R,27,R,1,Z,0,R,1,R,29,R,1,R,28,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
448354,42,22,2,1,R,101,R,12,R,89,R,0,Z,0,R,0,R,7,R,4,R,3,R,34,R,4,R,30,R,30,R,3,R,27,R,1,Z,0,R,1,R,29,R,1,R,28,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
