UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW,XEFGNDRU,EFGNDRUN,XEFGNDRA,EFGNDRAN,XEFGNDRU,EFGNDRUA,XEFGNDRK,EFGNDRKN
459958, 1,29,3,4,R,295,R,79,R,216,R,2,Z,0,R,2,R,2,Z,0,R,2,R,126,R,38,R,88,R,140,R,35,R,105,R,2,R,2,Z,0,R,13,R,3,R,10,R,8,R,1,R,7,R,2,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,A,,Z,0,R,295
459958, 2,99,3,1,R,295,R,79,R,216,R,2,Z,0,R,2,R,2,Z,0,R,2,R,126,R,38,R,88,R,140,R,35,R,105,R,2,R,2,Z,0,R,13,R,3,R,10,R,8,R,1,R,7,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,0,A,,R,0,R,295
459958, 3,99,3,1,R,295,R,79,R,216,R,2,Z,0,R,2,R,2,Z,0,R,2,R,126,R,38,R,88,R,140,R,35,R,105,R,2,R,2,Z,0,R,13,R,3,R,10,R,8,R,1,R,7,R,2,Z,0,R,2,Z,0,Z,0,Z,0,A,,A,,A,,A,
459958, 4,99,3,1,R,70,R,22,R,48,R,0,Z,0,R,0,R,0,Z,0,R,0,R,28,R,11,R,17,R,37,R,11,R,26,R,0,R,0,Z,0,R,3,R,0,R,3,R,2,R,0,R,2,R,0,Z,0,R,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
459958, 5,99,3,1,R,225,R,57,R,168,R,2,Z,0,R,2,R,2,Z,0,R,2,R,98,R,27,R,71,R,103,R,24,R,79,R,2,R,2,Z,0,R,10,R,3,R,7,R,6,R,1,R,5,R,2,Z,0,R,2,Z,0,Z,0,Z,0,A,,A,,A,,A,
459958,19,99,3,1,R,58,R,12,R,46,R,1,Z,0,R,1,R,2,Z,0,R,2,R,34,R,7,R,27,R,18,R,5,R,13,R,0,R,0,Z,0,R,1,R,0,R,1,R,2,R,0,R,2,R,0,Z,0,R,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
459958,20,99,3,1,R,167,R,45,R,122,R,1,Z,0,R,1,R,0,Z,0,R,0,R,64,R,20,R,44,R,85,R,19,R,66,R,2,R,2,Z,0,R,9,R,3,R,6,R,4,R,1,R,3,R,2,Z,0,R,2,Z,0,Z,0,Z,0,A,,A,,A,,A,
459958,21,14,1,4,R,295,R,79,R,216,R,2,Z,0,R,2,R,2,Z,0,R,2,R,126,R,38,R,88,R,140,R,35,R,105,R,2,R,2,Z,0,R,13,R,3,R,10,R,8,R,1,R,7,R,2,Z,0,R,2,Z,0,Z,0,Z,0,A,,A,,A,,A,
459958,22, 8,1,1,R,295,R,79,R,216,R,2,Z,0,R,2,R,2,Z,0,R,2,R,126,R,38,R,88,R,140,R,35,R,105,R,2,R,2,Z,0,R,13,R,3,R,10,R,8,R,1,R,7,R,2,Z,0,R,2,Z,0,Z,0,Z,0,A,,A,,A,,A,
459958,23, 6,1,1,R,295,R,79,R,216,R,2,Z,0,R,2,R,2,Z,0,R,2,R,126,R,38,R,88,R,140,R,35,R,105,R,2,R,2,Z,0,R,13,R,3,R,10,R,8,R,1,R,7,R,2,Z,0,R,2,Z,0,Z,0,Z,0,A,,A,,A,,A,
